"An Cnoc",2001,,46.00
"An Cnoc",24-year-old,24,46.00
"An Cnoc",Flaughter,,46.00
"An Cnoc",Rascan,,46.00
"As We Get It","NAS IM",,61.20
"As We Get It","NAS IM",,61.30
"As We Get It","NAS IM",,61.70
"As We Get It","NAS IM",,65.10
"As We Get It","NAS IM",,66.10
"Aureum 1865","2008 ",5,53.90
"Aureum 1865",05-year-old,5,43.00
"Beinn Dubh","The Black",,43.00
"Ben Nevis","1966 MBl",42,40.60
"Ben Nevis","1966 WhB",49,29.50
"Ben Nevis","1967 DL",45,42.90
"Ben Nevis","1970 AD",37,50.90
"Ben Nevis","1970 BR",43,44.70
"Ben Nevis","1970 JW",43,44.60
"Ben Nevis","1972 MBl",43,42.50
"Ben Nevis","1986 CWL",27,52.90
"Ben Nevis","1986 HMcD",,58.20
"Ben Nevis","1986 UD",26,58.20
"Ben Nevis","1991 SV",23,46.00
"Ben Nevis","1992 vW",21,46.00
"Ben Nevis","1995 WCh",19,53.50
"Ben Nevis","1996 AC",18,57.20
"Ben Nevis","1996 AD",11,60.10
"Ben Nevis","1996 BD",20,57.10
"Ben Nevis","1997 BD",18,51.20
"Ben Nevis","1997 C&S",17,49.00
"Ben Nevis","1997 CM",,52.80
"Ben Nevis","1997 WCh",16,52.70
"Ben Nevis","1998 AI",17,46.00
"Ben Nevis","1998 ANHA",,52.60
"Big Peat","Christmas Edition DL",,53.60
"Big Peat","Christmas Edition DL",,54.60
"Big Peat","Christmas Edition DL",,55.70
"Black Forest",2009,5,52.90
"Black Forest",2011,3,43.00
"Black Islay Devil","No. 3 WCh",,57.00
"Blair Athol","1988 ALOS",28,51.20
"Blair Athol","1988 SV",25,56.80
"Blair Athol","1988 SV",28,60.60
"Blair Athol","1988 vW",25,46.00
"Blair Athol","1991 TWC",25,52.50
"Blair Athol","1991 Wy",,46.00
"Blair Athol","1998 C&S",14,59.70
"Blair Athol","2002 LsD",11,46.00
"Blair Athol","2010 C&S",5,58.50
"Blended Malt Scotch Whisky","1997 C&S",16,54.40
"Bodach - Aislig","1980 MM",35,46.00
"Braes of Glenlivet","1989 HMcD",,59.70
"Braes of Glenlivet","1989 WCh",24,59.20
"Buffalo Trace","Kentucky Straight Bourbon",,40.00
"Caol Ila","1980 MM",30,51.90
"Caol Ila","1980 Wy",,46.00
"Caol Ila","1981 C&S",28,60.30
"Caol Ila","1981 DL",19,50.00
"Caol Ila","1981 DT",29,54.10
"Caol Ila","1981 DT",30,54.80
"Caol Ila","1982 Wy",,46.00
"Caol Ila","1982 Wy",30,46.00
"Caol Ila","1983 JW",30,52.90
"Caol Ila","1983 JY",27,52.00
"Caol Ila","1983 Wy",,46.00
"Caol Ila","1984 DL",27,51.90
"Caol Ila","1984 LMDW",30,50.50
"Caol Ila","1990 WM",25,54.30
"Caol Ila","1993 DR",21,56.80
